Date,Race,Gap,Step,Stake,Cost,Payout,PnL,Equity,Notes
2024-10-21,3,0,0,1.0,2.0,9.0,7.0,7.0,WIN Entry on 0
2024-12-09,3,9,2,1.7,2.0,0.0,-2.0,5.0,LOSS Entry
2024-12-09,4,10,3,2.8899999999999997,5.1,0.0,-5.1,-0.09999999999999964,LOSS (Stp 2)
2024-12-10,3,12,4,4.912999999999999,5.779999999999999,0.0,-5.779999999999999,-5.879999999999999,LOSS (Stp 3)
2024-12-10,4,13,5,8.352099999999998,14.738999999999997,0.0,-14.738999999999997,-20.618999999999996,LOSS (Stp 4)
2024-12-11,3,15,0,1.0,16.704199999999997,0.0,-16.704199999999997,-37.32319999999999,LOSS (Stp 5) [STOP LOSS]
2024-12-11,4,16,2,1.7,3.0,0.0,-3.0,-40.32319999999999,LOSS Entry
2024-12-12,3,18,3,2.8899999999999997,3.4,0.0,-3.4,-43.72319999999999,LOSS (Stp 2)
2024-12-13,3,0,0,1.0,5.779999999999999,26.009999999999998,20.229999999999997,-23.493199999999995,WIN on 0 (Stp 3)
2024-12-18,3,9,2,1.7,2.0,0.0,-2.0,-25.493199999999995,LOSS Entry
2024-12-18,4,0,0,1.0,5.1,15.299999999999999,10.2,-15.293199999999997,WIN on 7 (Stp 2)
2024-12-29,3,0,0,1.0,2.0,9.0,7.0,-8.293199999999999,WIN Entry on 1
2025-01-13,4,0,0,1.0,3.0,9.0,6.0,-2.293199999999999,WIN Entry on 6
2025-01-22,3,10,2,1.7,2.0,0.0,-2.0,-4.293199999999999,LOSS Entry
2025-01-22,4,0,0,1.0,5.1,15.299999999999999,10.2,5.9068000000000005,WIN on 7 (Stp 2)
2025-01-26,3,11,2,1.7,2.0,0.0,-2.0,3.9068000000000005,LOSS Entry
2025-01-27,2,0,0,1.0,0.0,0.0,0.0,3.9068000000000005,Skipped Win (Race < 3) - Session Reset
2025-02-18,3,0,0,1.0,2.0,9.0,7.0,10.9068,WIN Entry on 3
2025-02-27,3,0,0,1.0,2.0,9.0,7.0,17.9068,WIN Entry on 3
2025-03-03,4,0,0,1.0,3.0,9.0,6.0,23.9068,WIN Entry on 1
2025-03-16,3,11,2,1.7,2.0,0.0,-2.0,21.9068,LOSS Entry
2025-03-17,3,13,3,2.8899999999999997,3.4,0.0,-3.4,18.506800000000002,LOSS (Stp 2)
2025-03-17,4,14,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,9.836800000000004,LOSS (Stp 3)
2025-03-18,3,16,5,8.352099999999998,9.825999999999999,0.0,-9.825999999999999,0.010800000000005028,LOSS (Stp 4)
2025-03-18,4,17,0,1.0,25.056299999999993,0.0,-25.056299999999993,-25.04549999999999,LOSS (Stp 5) [STOP LOSS]
2025-03-19,3,0,0,1.0,2.0,9.0,7.0,-18.04549999999999,WIN Entry on 1
2025-03-24,4,10,2,1.7,3.0,0.0,-3.0,-21.04549999999999,LOSS Entry
2025-03-25,3,12,3,2.8899999999999997,3.4,0.0,-3.4,-24.44549999999999,LOSS (Stp 2)
2025-03-25,4,13,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,-33.11549999999998,LOSS (Stp 3)
2025-03-26,3,15,5,8.352099999999998,9.825999999999999,0.0,-9.825999999999999,-42.941499999999984,LOSS (Stp 4)
2025-03-27,3,17,0,1.0,16.704199999999997,0.0,-16.704199999999997,-59.64569999999998,LOSS (Stp 5) [STOP LOSS]
2025-03-28,3,19,2,1.7,2.0,0.0,-2.0,-61.64569999999998,LOSS Entry
2025-03-29,3,21,3,2.8899999999999997,3.4,0.0,-3.4,-65.04569999999998,LOSS (Stp 2)
2025-03-29,4,22,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,-73.71569999999998,LOSS (Stp 3)
2025-03-30,3,24,5,8.352099999999998,9.825999999999999,0.0,-9.825999999999999,-83.54169999999998,LOSS (Stp 4)
2025-03-31,3,26,0,1.0,16.704199999999997,0.0,-16.704199999999997,-100.24589999999998,LOSS (Stp 5) [STOP LOSS]
2025-04-02,3,28,2,1.7,2.0,0.0,-2.0,-102.24589999999998,LOSS Entry
2025-04-03,3,30,3,2.8899999999999997,3.4,0.0,-3.4,-105.64589999999998,LOSS (Stp 2)
2025-04-04,3,32,4,4.912999999999999,5.779999999999999,0.0,-5.779999999999999,-111.42589999999998,LOSS (Stp 3)
2025-04-05,3,34,5,8.352099999999998,9.825999999999999,0.0,-9.825999999999999,-121.25189999999998,LOSS (Stp 4)
2025-04-05,4,35,0,1.0,25.056299999999993,0.0,-25.056299999999993,-146.30819999999997,LOSS (Stp 5) [STOP LOSS]
2025-04-06,3,0,0,1.0,2.0,9.0,7.0,-139.30819999999997,WIN Entry on 5
2025-04-22,3,10,2,1.7,2.0,0.0,-2.0,-141.30819999999997,LOSS Entry
2025-04-23,3,12,3,2.8899999999999997,3.4,0.0,-3.4,-144.70819999999998,LOSS (Stp 2)
2025-04-24,3,0,0,1.0,5.779999999999999,26.009999999999998,20.229999999999997,-124.47819999999999,WIN on 8 (Stp 3)
2025-05-09,3,0,0,1.0,2.0,9.0,7.0,-117.47819999999999,WIN Entry on 6
2025-05-24,4,0,0,1.0,3.0,9.0,6.0,-111.47819999999999,WIN Entry on 2
2025-05-30,3,0,0,1.0,2.0,9.0,7.0,-104.47819999999999,WIN Entry on 3
2025-06-17,3,11,2,1.7,2.0,0.0,-2.0,-106.47819999999999,LOSS Entry
2025-06-17,4,0,0,1.0,5.1,15.299999999999999,10.2,-96.27819999999998,WIN on 4 (Stp 2)
2025-07-13,3,11,2,1.7,2.0,0.0,-2.0,-98.27819999999998,LOSS Entry
2025-07-13,4,0,0,1.0,5.1,15.299999999999999,10.2,-88.07819999999998,WIN on 5 (Stp 2)
